uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
REVBOLT_00016085,REVOS,REVOS,B-30/4A Jhilmil Industrial Area,28.6730594284594,77.312159948051,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918851135667""]",charging,110095,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00031959,REVOS,REVOS,B-30/4A Jhilmil Industry Area,28.673615981186,77.3107263073325,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918851135667""]",charging,110095,east-delhi,,1.0,3.3 kW,₹16 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00031963,REVOS,REVOS,B-30/4A Jhilmil Industry Area,28.6740163325612,77.3107719048858,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918851135667""]",charging,110095,east-delhi,,1.0,3.3 kW,₹16 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00031955,REVOS,REVOS,Sector 14 Rohini Delhi,28.7141228403489,77.1309478953481,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919818019849""]",charging,110085,north-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036972,REVOS,REVOS,Shop no 1 Mohit Nagar kakrola,28.6066331235283,77.0347953960299,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919310969511""]",charging,110078,west-delhi,,1.0,3.3 kW,₹20 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036974,REVOS,REVOS,shop no 1 Mohit Nagar kakrola Delhi,28.6066384217949,77.034618370235,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919310969511""]",charging,110078,west-delhi,,1.0,3.3 kW,₹31 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00031948,REVOS,REVOS,flat no 13 sec 15 rohinj,28.7308445142738,77.1352270245552,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918800603762""]",charging,110085,north-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00022632,REVOS,REVOS,wz t3 basai darapur main najafgarh road p,28.6532695871037,77.1335281804204,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919871993080""]",charging,110015,west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036969,REVOS,REVOS,A 5 dsidc Udyog Nagar nr metro pillar 334 delhi 41,28.6820462755624,77.079309001565,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919871860001""]",charging,110041,west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00037003,REVOS,REVOS,laxmi nagar,28.6393936713847,77.2838898003101,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919013246987""]",charging,110092,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00037004,REVOS,REVOS,laxmi nagar,28.6393898460526,77.2838911414146,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919013246987""]",charging,110092,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016263,REVOS,REVOS,251/252 malika ganj near nigam pratibha balika vidyalay,28.6779044561206,77.208420149982,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919891451007""]",charging,110059,west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00022033,REVOS,REVOS,B 70/4 gali no 7 Shastri park Gas Godam,28.6703775206222,77.2598199918866,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919891000281""]",charging,110053,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00019156,REVOS,REVOS,B 70\4   Shastri Shastri Shastri Shastri park Gas Godam,28.6703884048884,77.2599282860756,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919891000281""]",charging,110053,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00018952,REVOS,REVOS,j24 prerna chok kanhaiya nagar,28.6843822824338,77.1641539782286,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919136359016""]",charging,110035,north-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00018960,REVOS,REVOS,j24 prerna chowk kanhaiya nagar,28.6835545972162,77.1639219671488,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919136359016""]",charging,110035,north-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00037001,REVOS,REVOS,"C-39 Main Market , West Patel Nagar New Delhi",28.6506780883251,77.1644842252135,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919213632255""]",charging,110008,central-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036992,REVOS,REVOS,dwarka,28.5905704948387,77.0437174290419,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919818200406""]",charging,110075,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036996,REVOS,REVOS,dwarka,28.5905640181894,77.0436996594071,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919818200406""]",charging,110075,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036990,REVOS,REVOS,Dwarka,28.5436643892144,77.0329067856073,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919818200406""]",charging,110077,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036987,REVOS,REVOS,dwarka,28.5436959033198,77.0328648760915,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919818200406""]",charging,110077,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036997,REVOS,REVOS,Devli road,28.5096710867652,77.2323783114552,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919311177345""]",charging,110062,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036983,REVOS,REVOS,Near saket metro station,28.5202783244879,77.202880717814,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919990653930""]",charging,110030,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036977,REVOS,REVOS,Rajdhani park metro,28.6820398045569,77.0414774492383,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918377926006""]",charging,110041,west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00023521,REVOS,REVOS,shop no.72/13 Main Rohtak road Swarn park ,28.6824130632678,77.0412273332477,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919213397041""]",charging,110041,west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00023492,REVOS,REVOS,mundaka,28.6824463005826,77.0411736890674,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919990627662""]",charging,110041,west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_004521,REVOS,REVOS,J-6 Pal Chowk M.S park Delhi 110032,28.6799708271069,77.2982919216156,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919958831565""]",charging,110032,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_003751,REVOS,REVOS,J-6 pal Chowk M.S park Delhi 110032,28.6800752476191,77.2980062663555,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919958831565""]",charging,110032,east-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00037006,REVOS,REVOS,plot no NM64 pkt N sec 3 dsiidc Bawana delhi,28.7835403217462,77.0590784400702,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919811031088""]",charging,110039,north-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00036998,REVOS,REVOS,vikas puri,28.638106292111,77.0655630156398,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919212053468""]",charging,110018,west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00026284,REVOS,REVOS,"C-10/54,Shop No 1 Sector -15 ,Rohini",28.7315833322788,77.1296466886997,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918130078573""]",charging,110089,north-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00014304,REVOS,REVOS,A-2 Vishkarma Colony Pul Phelad Pur,28.5015260192998,77.2871972993016,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919582400196""]",charging,110044,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016473,REVOS,REVOS,Lal Kuan near bhart patrol pump,28.5030640400444,77.2811334952712,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919811731817""]",charging,110044,south-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
REVBOLT_005898,REVOS,REVOS,vishwas park Rajapuri Sector 03 Dwarka,28.6053235604512,77.0541247352958,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918882378528""]",charging,110075,south-west-delhi,,1.0,3.3 kW,₹0 per unit,AC,1.0,5A/15A Socket,"['2W', '3W']"
